Time Step,Market Price,Environmental Condition,Agent 0 Performance,Agent 1 Performance,Agent 2 Performance,Agent 3 Performance,Agent 4 Performance,Agent 5 Performance,Agent 6 Performance,Agent 7 Performance,Agent 8 Performance,Agent 9 Performance
16,0.32000000000000006,0.5231145592266286,0.5760000000000002,0.5760000000000002,0.20868044836471394,0.5760000000000002,0.5760000000000002,0.20868044836471394,0.5760000000000002,0.5760000000000002,0.5120878468611182,0.5760000000000002
17,0.32000000000000006,0.41328912023113457,0.5760000000000002,0.5760000000000002,0.21558007707784124,0.5760000000000002,0.5760000000000002,0.21558007707784124,0.5760000000000002,0.5760000000000002,0.5290190737179412,0.5760000000000002
18,0.32000000000000006,0.2765941008508852,0.5760000000000002,0.5760000000000002,0.22035033128429807,0.5760000000000002,0.5760000000000002,0.22035033128429807,0.5760000000000002,0.5760000000000002,0.5407249581201798,0.5760000000000002
19,0.32000000000000006,0.20723213819302877,0.5760000000000002,0.5760000000000002,0.22400342490858502,0.5760000000000002,0.5760000000000002,0.22400342490858502,0.5760000000000002,0.5760000000000002,0.5496894052598262,0.5760000000000002
20,0.32000000000000006,0.3717063201951669,0.5760000000000002,0.5760000000000002,0.2306645040112958,0.5760000000000002,0.5760000000000002,0.2306645040112958,0.5760000000000002,0.5760000000000002,0.5660352473461782,0.5760000000000002
21,0.32000000000000006,0.26718998197324323,0.5760000000000002,0.5760000000000002,0.2355950035847874,0.5760000000000002,0.5760000000000002,0.2355950035847874,0.5760000000000002,0.5760000000000002,0.5760000000000002,0.5760000000000002
22,0.32000000000000006,0.3217466946312784,0.5760000000000002,0.5760000000000002,0.24165915667879137,0.5760000000000002,0.5760000000000002,0.24165915667879137,0.5760000000000002,0.5760000000000002,0.5760000000000002,0.5760000000000002
23,0.32000000000000006,0.2333848077383896,0.5760000000000002,0.5760000000000002,0.24617112274436748,0.5760000000000002,0.5760000000000002,0.24617112274436748,0.5760000000000002,0.5760000000000002,0.5760000000000002,0.5760000000000002
24,0.32000000000000006,0.18889690731321976,0.5760000000000002,0.5760000000000002,0.24989119984486619,0.5760000000000002,0.5760000000000002,0.24989119984486619,0.5760000000000002,0.5760000000000002,0.5760000000000002,0.5760000000000002
25,0.32000000000000006,0.19429719074076465,0.5760000000000002,0.5760000000000002,0.2537754524945219,0.5760000000000002,0.5760000000000002,0.2537754524945219,0.5760000000000002,0.5760000000000002,0.5760000000000002,0.5760000000000002
26,0.32000000000000006,0.18685717688390135,0.5760000000000002,0.5760000000000002,0.25756903366376677,0.5760000000000002,0.5760000000000002,0.25756903366376677,0.5760000000000002,0.5760000000000002,0.5760000000000002,0.5760000000000002
27,0.32000000000000006,0.2534831018687243,0.5760000000000002,0.5760000000000002,0.26279218547164046,0.5760000000000002,0.5760000000000002,0.26279218547164046,0.5760000000000002,0.5760000000000002,0.5760000000000002,0.5760000000000002
28,0.32000000000000006,0.2818127942098653,0.5760000000000002,0.5760000000000002,0.2687168414783829,0.5760000000000002,0.5760000000000002,0.2687168414783829,0.5760000000000002,0.5760000000000002,0.5760000000000002,0.5760000000000002
29,0.32000000000000006,0.13790361273088303,0.5760000000000002,0.5760000000000002,0.27168140333770296,0.5760000000000002,0.5760000000000002,0.27168140333770296,0.5760000000000002,0.5760000000000002,0.5760000000000002,0.5760000000000002
30,0.32000000000000006,0.38327045209319943,0.5760000000000002,0.5760000000000002,0.2800115996803074,0.5760000000000002,0.5760000000000002,0.2800115996803074,0.5760000000000002,0.5760000000000002,0.5760000000000002,0.5760000000000002
31,0.32000000000000006,0.3230807484575067,0.5760000000000002,0.5760000000000002,0.28724890825642724,0.5760000000000002,0.5760000000000002,0.28724890825642724,0.5760000000000002,0.5760000000000002,0.5760000000000002,0.5760000000000002
32,0.32000000000000006,0.35741902893045935,0.5760000000000002,0.5760000000000002,0.295462366324455,0.5760000000000002,0.5760000000000002,0.295462366324455,0.5760000000000002,0.5760000000000002,0.5760000000000002,0.5760000000000002
33,0.32000000000000006,0.1124240727502559,0.5760000000000002,0.5760000000000002,0.29811973292978483,0.5760000000000002,0.5760000000000002,0.29811973292978483,0.5760000000000002,0.5760000000000002,0.5760000000000002,0.5760000000000002
34,0.32000000000000006,0.09046038352888773,0.5760000000000002,0.5760000000000002,0.30027717496005346,0.5760000000000002,0.5760000000000002,0.30027717496005346,0.5760000000000002,0.5760000000000002,0.5760000000000002,0.5760000000000002
35,0.32000000000000006,0.2579212247793273,0.5760000000000002,0.5760000000000002,0.3064730034991714,0.5760000000000002,0.5760000000000002,0.3064730034991714,0.5760000000000002,0.5760000000000002,0.5760000000000002,0.5760000000000002
36,0.32000000000000006,0.06311893985220879,0.5760000000000002,0.5760000000000002,0.30802054358510655,0.5760000000000002,0.5760000000000002,0.30802054358510655,0.5760000000000002,0.5760000000000002,0.5760000000000002,0.5760000000000002
37,0.32000000000000006,0.10750444248185534,0.5760000000000002,0.5760000000000002,0.31066962972999257,0.5760000000000002,0.5760000000000002,0.31066962972999257,0.5760000000000002,0.5760000000000002,0.5760000000000002,0.5760000000000002
38,0.32000000000000006,0.15848702842551954,0.5760000000000002,0.5760000000000002,0.3146085982450296,0.5760000000000002,0.5760000000000002,0.3146085982450296,0.5760000000000002,0.5760000000000002,0.5760000000000002,0.5760000000000002
39,0.32000000000000006,0.25398193470814934,0.5760000000000002,0.5760000000000002,0.32100099028167695,0.5760000000000002,0.5760000000000002,0.32100099028167695,0.5760000000000002,0.5760000000000002,0.5760000000000002,0.5760000000000002
40,0.32000000000000006,0.3623242142157825,0.5760000000000002,0.5760000000000002,0.3303055048069807,0.5760000000000002,0.5760000000000002,0.3303055048069807,0.5760000000000002,0.5760000000000002,0.5760000000000002,0.5760000000000002
41,0.32000000000000006,0.06441684460452635,0.5760000000000002,0.5760000000000002,0.3320076838769943,0.5760000000000002,0.5760000000000002,0.3320076838769943,0.5760000000000002,0.5760000000000002,0.5760000000000002,0.5760000000000002
42,0.32000000000000006,0.01867711933757541,0.5760000000000002,0.5760000000000002,0.33250375964761536,0.5760000000000002,0.5760000000000002,0.33250375964761536,0.5760000000000002,0.5760000000000002,0.5760000000000002,0.5760000000000002
43,0.32000000000000006,-0.03889976419419178,0.5742074988659317,0.5742074988659317,0.3314690142200974,0.5742074988659317,0.5742074988659317,0.3314690142200974,0.5742074988659317,0.5742074988659317,0.5742074988659317,0.5742074988659317
44,0.32000000000000006,-0.0659604672612095,0.5711774992715247,0.5711774992715247,0.32971990613525176,0.5711774992715247,0.5711774992715247,0.32971990613525176,0.5711774992715247,0.5711774992715247,0.5711774992715247,0.5711774992715247
45,0.32000000000000006,-0.018215332822690222,0.5703451642115197,0.5703451642115197,0.3292394295089702,0.5703451642115197,0.5703451642115197,0.3292394295089702,0.5703451642115197,0.5703451642115197,0.5703451642115197,0.5703451642115197
46,0.32000000000000006,-0.13162708739355683,0.5643393343895867,0.5643393343895867,0.3257724833360596,0.5643393343895867,0.5643393343895867,0.3257724833360596,0.5643393343895867,0.5643393343895867,0.5643393343895867,0.5643393343895867
47,0.32000000000000006,-0.1774408842702215,0.5563283847477822,0.5563283847477822,0.32114805473493513,0.5563283847477822,0.5563283847477822,0.32114805473493513,0.5563283847477822,0.5563283847477822,0.5563283847477822,0.5563283847477822
48,0.32000000000000006,-0.3100964692444729,0.5425271473197208,0.5425271473197208,0.3131811045046924,0.5425271473197208,0.5425271473197208,0.3131811045046924,0.5425271473197208,0.5425271473197208,0.5425271473197208,0.5425271473197208
49,0.32000000000000006,-0.38187770481133754,0.525952825574417,0.525952825574417,0.30361335399440986,0.525952825574417,0.525952825574417,0.30361335399440986,0.525952825574417,0.525952825574417,0.525952825574417,0.525952825574417
